Timestamp,Date,USDT,KUSD,USDTZ,UUSD,EURL,VEUR,Total
1692489600,2023-08-20,36744241,1086283,300632,12400913,2782267,,53314336
1692576000,2023-08-21,36777930,1086283,301061,12445763,2782267,,53393304
1692662400,2023-08-22,36777930,1076103,299889,12339206,2771309,,53264437
1692748800,2023-08-23,36770096,1089183,302241,12364551,2771309,,53297380
1692835200,2023-08-24,36767191,1078473,299936,12351652,2771309,,53268561
1692921600,2023-08-25,36777930,1073884,296435,12078317,2759063,,52985629
1693008000,2023-08-26,36769618,1083530,301579,12356035,2758119,,53268881
1693094400,2023-08-27,36743506,1076028,297183,12320413,2758119,,53195249
1693180800,2023-08-28,36753620,1087772,302083,12355860,2758119,,53257454
1693267200,2023-08-29,36754245,1086311,302044,12456736,2765963,,53365299
1693353600,2023-08-30,36777930,1078859,297229,12283218,2765963,,53203199
1693440000,2023-08-31,36771898,1073503,293376,12385796,2770230,,53294803
1693526400,2023-09-01,36742255,1070292,299488,12376615,2770230,,53258880
1693612800,2023-09-02,36770832,1082797,301238,12449583,2770230,,53374680
1693699200,2023-09-03,36777930,1082797,300607,12381289,2756206,,53298829
