Timestamp,Date,USDT,USDC,BUSD,DAI,FRAX,TUSD,USN,Total
1672444800,2022-12-31,29757867,33809010,102,5431308,,20576,37141870,106160733
1672531200,2023-01-01,29794536,33739486,102,5430026,,20582,35259372,104244104
1672617600,2023-01-02,29762808,33883918,102,5431391,,20591,36088121,105186931
1672704000,2023-01-03,29749176,33881857,102,5431372,,20597,35340780,104423884
1672790400,2023-01-04,29679172,34223490,102,5429266,,20594,35615673,104968297
1672876800,2023-01-05,28663192,34522819,102,5428685,,20565,38302944,106938307
1672963200,2023-01-06,27985294,33996847,102,5113663,,20575,38302804,105419285
1673049600,2023-01-07,27576171,33999366,102,5114458,,20569,38302802,105013468
1673136000,2023-01-08,29078165,33754566,102,5033188,,20581,38302845,106189447
1673222400,2023-01-09,29029375,33721578,102,5030430,,20589,38302134,106104208
1673308800,2023-01-10,28995908,33713070,102,5029929,,20565,38302132,106061706
1673395200,2023-01-11,28677199,33866478,102,5030687,,20569,38604388,106199423
1673481600,2023-01-12,28741340,33454728,102,5032309,,20559,39103760,106352798
1673568000,2023-01-13,28390366,33387016,102,5030035,,20565,39105622,105933706
1673654400,2023-01-14,28360920,33439266,102,5032129,,20576,39291167,106144160
1673740800,2023-01-15,28181856,33181771,102,5029970,,20580,39294650,105708929
1673827200,2023-01-16,28068031,32984265,102,5030609,,20580,39294677,105398264
1673913600,2023-01-17,29570116,32896299,102,5030778,,20578,39294678,106812551
1674000000,2023-01-18,29410265,32829668,102,5030851,,20575,39294863,106586324
1674086400,2023-01-19,29439741,32829737,102,5030289,,20580,39374826,106695275
1674172800,2023-01-20,29254357,32815214,102,5028791,,20573,39508717,106627754
1674259200,2023-01-21,29253594,32940394,102,5027591,,20601,39513964,106756246
1674345600,2023-01-22,29275821,32518591,102,5001556,,20580,39513978,106330628
1674432000,2023-01-23,29304395,32531147,102,5007185,,20593,39515038,106378460
1674518400,2023-01-24,29159596,32895907,102,5006302,,20596,39549711,106632214
1674604800,2023-01-25,29018154,32915867,102,5003721,,20605,39549720,106508169
1674691200,2023-01-26,29008374,32908408,102,5003566,,20580,39549783,106490813
1674777600,2023-01-27,29016795,32823495,102,5001414,,20591,37655193,104517590
1674864000,2023-01-28,29012641,32850385,102,4998552,,20592,37656794,104539066
1674950400,2023-01-29,29014964,32668686,102,4998167,,20589,37660230,104362738
1675036800,2023-01-30,28949401,32676557,102,5005648,,20572,37663230,104315510
1675123200,2023-01-31,28739922,32885354,102,4998570,,20584,37663242,104307774
1675209600,2023-02-01,28742980,32947100,102,5001040,,20580,37663242,104375044
1675296000,2023-02-02,28652905,32790858,102,4999472,,20580,37663248,104127165
1675382400,2023-02-03,28656542,32953760,102,5002495,,20580,37663248,104296727
1675468800,2023-02-04,28732072,32957528,102,4998275,,20560,37663255,104371792
1675555200,2023-02-05,28686899,34053699,102,4997530,,20551,37663257,105422038
1675641600,2023-02-06,28577127,33877794,102,5000912,,20552,37663254,105139741
1675728000,2023-02-07,28577323,32860469,102,4999032,,20558,37663262,104120746
1675814400,2023-02-08,28561815,32833479,102,4999815,,20561,37663288,104079060
1675900800,2023-02-09,28665060,32717159,102,4998131,,20554,37663292,104064298
1675987200,2023-02-10,28601477,32855333,102,4999145,,20560,37663304,104139921
1676073600,2023-02-11,28593592,32828682,102,5002832,,20533,37663308,104109049
1676160000,2023-02-12,28593781,32825382,102,5001525,,20544,37663313,104104647
1676246400,2023-02-13,28598855,32847173,102,4999629,,20552,37663317,104129628
1676332800,2023-02-14,28462267,32455347,102,4995126,,20541,37663307,103596690
1676419200,2023-02-15,28414422,31938675,102,4996663,,20557,37665982,103036401
1676505600,2023-02-16,28452915,32146519,102,4994905,,20556,37671720,103286717
1676592000,2023-02-17,28421529,31521612,102,4995917,,20566,37671755,102631481
1676678400,2023-02-18,28408564,31626556,102,4996755,,20570,37671753,102724300
1676764800,2023-02-19,28401600,31841251,102,4995168,,20566,37671750,102930437
1676851200,2023-02-20,28377329,31814126,102,4995307,,20560,37671750,102879174
1676937600,2023-02-21,28396847,31700668,102,4995038,,20556,37671696,102784907
1677024000,2023-02-22,28281462,31654588,102,4994585,,20547,37671703,102622987
1677110400,2023-02-23,28270949,31646008,102,4994227,,20544,37671720,102603550
1677196800,2023-02-24,28190661,31541187,102,4994493,,20548,37671720,102418711
1677283200,2023-02-25,28188207,31596353,102,4996434,,20563,37671732,102473391
1677369600,2023-02-26,28147392,31674276,102,4995903,,20540,37671746,102509959
1677456000,2023-02-27,28041081,31667232,102,4994391,,20540,37671726,102395072
